title,projectname,builder,price,per_sqft,area,status,place,rating
3  BHK  Apartment,,seller,7950000,"4,968 / sq ft",1600,Ready to move,Kollur,
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10400000,"5,500 / sq ft",1900,Under Construction,Jeedimetla,0.0
2  BHK  Apartment,GHR Callisto,GHR Infra,6926000,"5,349 / sq ft",1295,Under Construction,Kollur,0.0
3  BHK  Apartment,ASBL Springs,ASBL,6931000,"4,699 / sq ft",1475,Under Construction,Pocharam,0.0
Residential Plot,G Square Epitome Integrated City,G square Housing,4899000,"2,039 / sq ft",2403,New,Choutuppal,0.0
3  BHK  Apartment,Ecogreen Casa Traimbak,Eco Green Builders,5787000,"4,200 / sq ft",1378,Under Construction,Gundlapochampally,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,6250000,"2,777 / sq ft",2250,New,Sangareddy,0.0
Residential Plot,Alekhya NSR County Phase II,Alekya Infraa Developers,5625000,"2,777 / sq ft",2025,New,Sangareddy,0.0
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,16100000,"8,499 / sq ft",1895,Under Construction,Gandipet,0.0
3  BHK  Apartment,Hallmark Treasor,Hallmark Builders,16100000,"8,499 / sq ft",1895,Under Construction,Gandipet,0.0
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,8984000,"6,832 / sq ft",1315,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Ar Anmol Alpine Square,AR Anmol Developers,7473000,"5,300 / sq ft",1410,Under Construction,Patancheru,0.0
2  BHK  Apartment,Aavasa Constructions Emerald,Aavasa Constructions,8515000,"6,500 / sq ft",1310,Under Construction,Saroor Nagar,0.0
3  BHK  Apartment,Vasavi Nandanam,Vasavi Group,10400000,"5,500 / sq ft",1900,Under Construction,Jeedimetla,0.0
3  BHK  Apartment,IRA Aspiration,Ira Reality,8611000,"5,399 / sq ft",1595,Under Construction,Kollur,0.0
3  BHK  Apartment,IRA Miracle,Ira Reality,8769000,"5,299 / sq ft",1655,Under Construction,Kollur,0.0
5  BHK  Apartment,Aliens Space Station,M Kartheek,39300000,"7,199 / sq ft",5467,Under Construction,Tellapur,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,6773999,"5,599 / sq ft",1210,Under Construction,Kompally,0.0
2  BHK  Apartment,Beams 4 Blocks,Beams And Columns Builders Private Limited,7081999,"5,599 / sq ft",1265,Under Construction,Kompally,0.0
2  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,8580000,"7,800 / sq ft",1100,Under Construction,Begumpet,0.0
2  BHK  Apartment,Mahaveer Palm Grove,Mahaveer Group,8580000,"7,800 / sq ft",1100,Under Construction,Begumpet,0.0
3  BHK  Apartment,APR Praveens Higheria,APR Group,6097000,"4,500 / sq ft",1355,Under Construction,Patancheru,0.0
2  BHK  Apartment,APR Praveens Higheria,APR Group,5062000,"4,500 / sq ft",1125,Under Construction,Patancheru,0.0
2  BHK  Apartment,,Maaruthi Group,5300000,"4,472 / sq ft",1185,Ready to move,Pragathi Nagar Kukatpally,0.0
3  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,13600000,"6,639 / sq ft",2060,Under Construction,Manchirevula,0.0
2  BHK  Apartment,Kalyan Skyway 9,Kalyan Infra Projects,9457000,"6,803 / sq ft",1390,Under Construction,Manchirevula,0.0
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,17600000,"7,502 / sq ft",2350,Under Construction,Attapur,0.0
3  BHK  Apartment,Mahaveer Crystal Garden,Mahaveer Group,13600000,"7,499 / sq ft",1825,Under Construction,Attapur,0.0
4  BHK  Villa,APR Praveens Hillside,APR Group,36900000,"12,000 / sq ft",3075,Under Construction,Bachupally,0.0
